suggestionId,author,title,category,votes,timestamp,segment
107595,MyDora,"Have a option of dark chocolate in coffee, espresso, and frap drinks.  It's good for the heart!",Coffee+%26+Espresso+Drinks,32190,9/14/2012 10:58 AM,top
27700,Brendan,separate brewed coffee line/card swiping,"Ordering,+Payment+%26+Pick-Up",30690,4/28/2008 2:40 PM,top
99511,Jessica85,Bring back FREE syrups?!?,Coffee+%26+Espresso+Drinks,29370,11/20/2013 6:11 PM,top
27511,pinoak19,"How about ""A Penny to Fight PKD"" Campaign?",Building+Community,29300,3/29/2008 10:14 AM,top
46018,timsqueen,Bring back Gold Rewards,Starbucks+Card,29120,9/18/2012 1:00 PM,top
49985,Diele,Star Milestone Incentives,Starbucks+Card,28800,9/8/2010 5:34 PM,top
93129,bonebag227,Lactose Free Milk Option,Coffee+%26+Espresso+Drinks,26720,8/8/2010 6:59 PM,top
116312,kaichela,Free drink on your gold day anniversary,Frappuccino+Beverages,26510,11/20/2013 6:15 PM,top
46449,ElisabethsTeam,Keep Free Syrups!,Starbucks+Card,24170,9/18/2012 8:00 AM,top
50223,mzwynter,You have lost the community coffee house feel,Atmosphere+%26+Locations,24130,3/20/2008 3:35 PM,top
107408,emd220,3 shots in a venti espresso drinks,Coffee+%26+Espresso+Drinks,24080,11/20/2013 6:05 PM,top
2197,Lisa,Reusable cups,Social+Responsibility,23010,3/19/2008 12:23 PM,top
107602,diek,Bring back the Mocha Valencia,Coffee+%26+Espresso+Drinks,22390,2/17/2012 4:47 PM,top
44571,Momx4,Bring Back Original Gold Card,Starbucks+Card,21970,1/21/2010 10:02 AM,top
54643,JoAnna,Sofas and Chairs,Atmosphere+%26+Locations,21910,2/12/2009 9:21 AM,top
42206,Starryeyes,Please change the expiration date on free drinks earned from 30 days to at least 90 days!with my gold card.  Expiration after 30 days is not enough!,"Ordering,+Payment+%26+Pick-Up",21800,4/8/2013 1:03 PM,top
26714,bec,Raise the Cup Discount,"Ordering,+Payment+%26+Pick-Up",21780,3/25/2008 7:41 PM,top
96541,colemkiniry,Offer a Skinny Pumpkin Spice Latte!!,Coffee+%26+Espresso+Drinks,21330,9/23/2010 10:04 AM,top
218,Goonie,"Lose the high-fructose corn syrup (in flavor shots), go for real sugar",Tea+%26+Other+Drinks,20170,3/19/2008 5:30 PM,top
55658,bobreese,Sanitation In Bathrooms,Atmosphere+%26+Locations,19590,3/19/2008 11:38 AM,top
42351,JadedBarista,Improve the Rewards Program,"Ordering,+Payment+%26+Pick-Up",19530,9/9/2013 10:07 PM,top
83333,IronGuar,"Less Ice, More Drink",Tea+%26+Other+Drinks,19430,3/31/2008 7:43 AM,top
66168,PartnerMolly,Mark down prices in the evening for food that will be marked out that night.,Food,18810,11/1/2013 4:44 PM,top
64056,jcsoda,Half-off Pasteries after 9 P.M.,Food,18690,4/11/2008 8:10 AM,top
49669,stjapkes,Load email offers on starbucks card,Starbucks+Card,18610,11/6/2013 12:25 PM,top
48956,musikdude,Year End Total Bonus Reward,Starbucks+Card,18120,11/20/2013 6:44 PM,top
93886,zkatk,Bring Back Almond!,Coffee+%26+Espresso+Drinks,18040,5/13/2010 7:22 PM,top
50866,Judy,I could use a shelf!,Atmosphere+%26+Locations,18040,3/20/2008 4:13 PM,top
82769,GrandeSFVLatte,Paperless Treat Receipts for gold card members,New+Technology,17700,10/14/2010 2:45 PM,top
49463,usedtobeafan,Require licensee stores to participate in rewards and card programs,Starbucks+Card,17530,11/14/2013 9:00 AM,top
49915,starbaby,"More kid friendly? Please, no.",Atmosphere+%26+Locations,17400,3/19/2008 4:19 PM,top
67725,Julieyum,Please bring back old bakery goods!,Food,17080,6/10/2013 3:07 PM,top
26242,CustIdea0001,Happy Hours,"Ordering,+Payment+%26+Pick-Up",16890,3/18/2008 3:21 PM,top
49925,catville,Later Weekend Hours,Atmosphere+%26+Locations,16810,3/19/2008 12:03 PM,top
108169,coffeediva212,Stop charging $0.60 extra for SOY!,Coffee+%26+Espresso+Drinks,16430,11/20/2013 6:13 PM,top
104331,moonfish124,More Products Made in the USA,Merchandise+%26+Music,16370,11/7/2010 3:35 AM,top
103058,VicHugo,Make sure customers get full drinks.,Coffee+%26+Espresso+Drinks,16350,4/18/2011 11:42 AM,top
53044,jerilee,no smoking by front door,Atmosphere+%26+Locations,16290,5/11/2008 5:54 PM,top
2185,DoctorT,Biodegradable drink & food containers,Social+Responsibility,16100,3/19/2008 1:58 PM,top
92385,MarshaDell,Coupons for Tea Drinkers,Tea+%26+Other+Drinks,16040,4/23/2013 9:52 AM,top
107368,ckenndy3,earned rewards never expire,Coffee+%26+Espresso+Drinks,15930,11/22/2013 12:50 PM,top
26234,chriss,Get rid of tip jars,"Ordering,+Payment+%26+Pick-Up",15900,3/19/2008 11:23 AM,top
87686,Queen423,Sugar - free Chai Tea Latte,Tea+%26+Other+Drinks,15220,9/21/2011 10:05 AM,top
107697,ruvain,Transactions,Coffee+%26+Espresso+Drinks,14380,11/20/2013 6:20 PM,top
45565,{FBE035B4-857F-4ACC-9600-4FBF30DCD3A4},Flexible Gold Card Benefits,Starbucks+Card,14370,10/20/2011 4:35 PM,top
107585,CoffeeAddikt,BRING BACK the FREE Tall beverage with the purchase of a bag of coffee,Coffee+%26+Espresso+Drinks,14370,11/1/2012 7:42 PM,top
102548,chu,free drink/food award that does not expire,Coffee+%26+Espresso+Drinks,14360,11/20/2013 7:13 PM,top
95592,tulefog,"Plain soymilk, no sugar",Coffee+%26+Espresso+Drinks,14260,5/13/2011 7:06 AM,top
16351,MamaMcCarl,Barista Appreciation Day,Other+Experience+Ideas,14080,1/3/2011 10:51 AM,top
107842,Lindzpy87,Take High Fructose Corn Syrup out of the Caramel Sauce,Coffee+%26+Espresso+Drinks,14030,4/19/2012 11:36 AM,top
83383,HG,Soy charge,Tea+%26+Other+Drinks,13830,3/23/2008 9:15 PM,top
99605,SteffiR,Less ice on cold drinks.. And more of the cold drink itself!,Coffee+%26+Espresso+Drinks,13790,11/20/2013 6:11 PM,top
49341,zuroffh1,Bring back free extras for gold card.,Starbucks+Card,13210,11/20/2013 6:19 PM,top
67761,mickey,Sugar Free / Low Carb / Gluten Free,Food,13120,3/20/2008 8:02 PM,top
45497,kmi29,Starbucks Mini Gold Card,Starbucks+Card,12940,3/25/2010 9:45 PM,top
338,wychykelly,Bring back Mocha Coconut and Coconut Crme Frappuccino Blended Beverages,Frappuccino+Beverages,12650,4/6/2014 6:48 AM,top
40225,lilikoi,Double points day!,Starbucks+Card,12540,6/25/2011 1:53 PM,top
67800,mlbarber,Bring Back at Least Some of Original Pastry Line,Food,12540,11/5/2013 11:55 AM,top
82990,benchley2,Order through app,New+Technology,12340,7/12/2012 7:57 PM,top
54638,mulderjam,local art in stores please,Atmosphere+%26+Locations,12140,1/28/2009 4:50 PM,top
42302,mynameislauren,Increase personal cup discount with prices please!,"Ordering,+Payment+%26+Pick-Up",12130,3/27/2012 4:04 PM,top
20273,gretchen1109,Rewards at Target,Other+Experience+Ideas,12120,11/20/2013 6:47 PM,top
30332,MimiSnn,Coupons,"Ordering,+Payment+%26+Pick-Up",12120,12/15/2008 9:59 AM,top
11081,julieC,Voting system on this site.,Other+Experience+Ideas,12080,3/19/2008 1:44 PM,top
26237,CustIdea0001,Want my drink to taste the same at all stores,"Ordering,+Payment+%26+Pick-Up",12070,3/18/2008 3:21 PM,top
96371,quadshotabe,Samples Days,Coffee+%26+Espresso+Drinks,11840,6/3/2009 6:02 AM,top
116577,lrschear,More Comfortable Seating Areas,Atmosphere+%26+Locations,11780,12/8/2009 1:20 PM,top
50033,cmlstudio,Allow free  rewards to last longer than 30 days,Starbucks+Card,11770,4/22/2014 12:57 PM,top
92051,crnemz,More Variety For Tea Drinkers,Tea+%26+Other+Drinks,11700,3/31/2010 10:05 PM,top
48915,bjolliff,Earned Free Drinks should not expire so quickly,Starbucks+Card,11680,11/20/2013 6:36 PM,top
50010,sadinjc,A drain to pour out the extra coffee,Atmosphere+%26+Locations,11580,3/19/2008 1:54 PM,top
49323,pittsburgh0912,Golden Anniversary,Starbucks+Card,11530,11/20/2013 6:43 PM,top
93711,44rsleave,Stevia! Please!,Coffee+%26+Espresso+Drinks,11310,7/14/2010 6:27 AM,top
2141,claudiag,Real cups/mugs,Social+Responsibility,11150,3/19/2008 8:32 PM,top
37194,rotto,Use notifications or calendar reminder for expiring free drinks,"Ordering,+Payment+%26+Pick-Up",10960,10/29/2013 4:15 PM,top
67980,Horseman1,Need more pasteries a diabetic can eat. Most stores cary none.,Food,10850,4/28/2011 10:51 AM,top
116302,roknrobn,Frappy Hour,Frappuccino+Beverages,10790,5/6/2010 5:57 AM,top
50094,anna80020,personalized cards,Starbucks+Card,10710,10/23/2013 9:06 AM,top
55661,NightNurses,Have late night locations near hospitals,Atmosphere+%26+Locations,10610,12/13/2009 11:33 PM,top
101269,play2windad,Custom Tee Shirt with Personal Drink Order,Merchandise+%26+Music,10460,7/17/2009 9:26 AM,top
93643,julywest,DARK CHOCOLATE,Coffee+%26+Espresso+Drinks,10430,1/6/2010 12:59 PM,top
49947,Freddie,More laptop power connections,Atmosphere+%26+Locations,10420,3/19/2008 12:20 PM,top
108177,omggmo,Need organic and non-gmo options at STARBUCKS,Coffee+%26+Espresso+Drinks,10320,3/7/2014 3:55 PM,top
116288,dkchocodrinker,Bring back Dark Chocolate Mocha Frappuccion!,Frappuccino+Beverages,10290,1/5/2011 5:34 AM,top
30579,Tmhennings,Put Names on the Cup in all stores,"Ordering,+Payment+%26+Pick-Up",10150,6/18/2009 2:17 PM,top
111722,drinks1,frap mix - bring back the old mix!!,Frappuccino+Beverages,10140,4/10/2010 5:41 PM,top
95720,crwkaw2000,light soy milk,Coffee+%26+Espresso+Drinks,10050,7/11/2011 6:19 AM,top
92996,greatmoc,Reward your steady customers,Coffee+%26+Espresso+Drinks,10040,12/8/2009 12:02 PM,top
108166,jester8909,Refills on Lattes!!,Coffee+%26+Espresso+Drinks,9670,9/15/2013 8:10 PM,top
92477,akaydgm,Diabetic friendly menu,Tea+%26+Other+Drinks,9620,10/31/2010 5:28 PM,top
102960,sgob88,Free syrup or extra shot of espresso with gold card,Coffee+%26+Espresso+Drinks,9610,11/20/2013 6:31 PM,top
2009,jholder,Bright Idea,Social+Responsibility,9520,3/19/2008 11:11 AM,top
82859,dsphilly,windows phone 8 app,New+Technology,9470,12/4/2012 5:51 PM,top
68669,efrogel0,Bring back the good scones!,Food,9160,4/2/2008 6:37 AM,top
55463,Keppela,Free Wireless!,Atmosphere+%26+Locations,9140,8/6/2009 9:11 AM,top
104622,GreatPerson,Stevia,Coffee+%26+Espresso+Drinks,9140,5/16/2012 1:06 PM,top
107335,sophia333,More perks/ discounts for gold card member,Coffee+%26+Espresso+Drinks,9110,11/20/2013 7:18 PM,top
40668,SBPgreatfalls,Random free drink coupons...,Starbucks+Card,9060,6/29/2011 12:14 AM,top
30380,mdsystem1,"Clearly Identify ""Licensed"" Stores","Ordering,+Payment+%26+Pick-Up",8950,11/14/2008 3:15 PM,top
83021,ToffMocha7762,Electronic Receipts for Card Users,New+Technology,8890,10/24/2010 1:58 PM,top
41726,sfbiker,Ordering Kiosk,"Ordering,+Payment+%26+Pick-Up",8870,4/8/2008 2:38 PM,top
63209,thommie,"Improve the pastries, PLEASE!!!!",Food,8820,5/4/2010 7:35 PM,top
49983,JRowland,Signature Drink,Starbucks+Card,8810,5/29/2010 6:43 AM,top
55696,amycat,Grocery Store Starbucks?!?,Atmosphere+%26+Locations,8780,3/19/2008 2:57 PM,top
49735,OperaDolce,Starbucks' Refill Policy for Gold Members,Starbucks+Card,8700,10/15/2013 8:14 AM,top
111607,haydukeii,Make a way for people to know what song is playing without having to ask the baristas.,Merchandise+%26+Music,8680,10/28/2010 5:27 AM,top
50028,rosehip,bring back free syrup for reward members!!!!!!!!!,Starbucks+Card,8590,9/18/2012 11:56 AM,top
50092,inspectrex,Anniversary gifts for years at gold,Starbucks+Card,8590,11/21/2013 9:53 AM,top
44194,QueenLatte,Offer gold card holders either free shots of espresso or discounted price for each shot.,Starbucks+Card,8550,10/5/2010 10:06 AM,top
42203,AshlynBarbee,Gold Card Drink Recognition,"Ordering,+Payment+%26+Pick-Up",8530,9/17/2013 10:02 AM,top
67269,Kemosabe,Earned rewards should not expire,Food,8490,11/21/2013 3:07 AM,top
11767,avivanco,Pay your partners more.,Other+Experience+Ideas,8460,3/25/2008 10:44 AM,top
55702,mels_coffee,non-smoking patios,Atmosphere+%26+Locations,8460,6/1/2011 10:40 AM,top
78195,dmilsner,Stars for each coffee purchase on one ticket,Other+Product+Ideas,8450,11/20/2013 7:09 PM,top
116307,em_seeg,Where is the Mocha Coconut Frappuccino?,Frappuccino+Beverages,8430,4/30/2013 9:11 PM,top
116209,originaladr,Bring back the Chocolate Brownie Frappuccino...please!,Frappuccino+Beverages,8430,5/13/2012 4:54 PM,top
68661,AMMPark,"PLEASE PLEASE bring the ""old"" pastries back",Food,8360,2/3/2014 7:24 AM,top
96685,melthom,Coconut milk,Coffee+%26+Espresso+Drinks,8320,8/9/2011 10:40 AM,top
45563,Dynaride,Permanent Gold,Starbucks+Card,8260,7/2/2012 8:04 PM,top
86986,leytonstone,Free Refills For Tea Drinkers,Tea+%26+Other+Drinks,8220,10/27/2010 12:53 AM,top
26372,lbt,Receipts,"Ordering,+Payment+%26+Pick-Up",8210,3/20/2008 9:31 PM,top
40199,Coltsfanforeve,Half price day for gold card members,Starbucks+Card,8160,5/31/2011 10:40 AM,top
2255,jimokla,SENIOR CITIZEN Discounts !,Social+Responsibility,8150,2/7/2010 11:58 AM,top
40672,JASBL,"As a Gold Card Member, There Should Be No Expiration on the Free Drink you EARN after 15 Stars",Starbucks+Card,8080,8/9/2011 12:42 PM,top
116333,RewardsHound,Offer leftover frap drinks to customer prior to discarding.,Frappuccino+Beverages,8030,8/9/2011 10:34 AM,top
64289,vlatte24,"Bring back ""Free Pastry Day""!",Food,8020,8/24/2011 9:28 AM,top
92437,chaitealover,More tea promotions!,Tea+%26+Other+Drinks,8020,6/8/2009 9:40 AM,top
109181,marggieannie,American Made,Merchandise+%26+Music,7960,10/26/2013 1:09 PM,top
339,joaceves0804,Double points on weekends,Frappuccino+Beverages,7960,11/20/2013 8:04 PM,top
113242,inspiredwish,Special Beverage Of the Day,Frappuccino+Beverages,7910,7/28/2011 4:28 PM,top
103319,kolendon,Collectable localized Starbucks mugs/cups,Merchandise+%26+Music,7890,12/8/2009 10:53 AM,top
68489,zschmidl,Organic/Vegan,Food,7820,7/24/2008 9:33 AM,top
25825,GoUtes91,Bring back 10% off purchase when using Gold Card,"Ordering,+Payment+%26+Pick-Up",7820,11/21/2013 4:52 AM,top
65160,joyful369,"Develop healthy baked breakfast foods that are low fat, low sugar and under 250 calories - and taste good!",Food,7790,10/31/2010 4:14 AM,top
42378,arb0703,Drive through automated voice after closing,"Ordering,+Payment+%26+Pick-Up",7640,8/29/2010 7:14 PM,top
49342,TJay2132,Rewards should not expire so quickly!,Starbucks+Card,7620,11/21/2013 5:45 AM,top
97801,SEO,Sell a VENTI travel mug!,Merchandise+%26+Music,7590,3/26/2008 10:30 AM,top
19978,CustIdea0001,Reemphasize customer service,Other+Experience+Ideas,7540,3/18/2008 3:21 PM,top
42267,HahniShane,Coffee Cup Lid Alignment,"Ordering,+Payment+%26+Pick-Up",7480,2/23/2009 5:32 PM,top
11457,carollyn,Your employees,Other+Experience+Ideas,7470,3/21/2008 3:25 PM,top
13918,Marcello8880,Tattoo Vs Band-Aid,Other+Experience+Ideas,7470,1/16/2009 7:42 PM,top
44637,Cielolindo,For Teachers Only,Starbucks+Card,7470,1/17/2010 10:04 AM,top
92779,Target362,Treat receipt: $2 grande and $3 venti,Coffee+%26+Espresso+Drinks,7420,8/2/2010 7:13 AM,top
20196,cmt14,starbucks delivery!!!!,Other+Experience+Ideas,7390,5/20/2011 7:34 AM,top
102083,fseguin23,Free drink when loading your card,Coffee+%26+Espresso+Drinks,7380,11/20/2013 9:03 PM,top
30705,CDinSD,remember the mug discount,"Ordering,+Payment+%26+Pick-Up",7360,4/12/2009 11:02 AM,top
43655,Patricia0303,GREATER REWARDS FOR FREQUENT DRINKERS,Starbucks+Card,7340,1/16/2011 2:44 PM,top
87000,dangerGator,Chantico,Tea+%26+Other+Drinks,7310,11/3/2010 11:40 AM,top
41725,flying_fish,CALL OUT NAMES,"Ordering,+Payment+%26+Pick-Up",7270,1/20/2012 4:03 PM,top
53027,historic,Drive Thru,Atmosphere+%26+Locations,7230,5/14/2008 10:07 AM,top
116216,ThebearvonD,Caramel Apple Frappuccino,Frappuccino+Beverages,7150,5/6/2013 8:18 PM,top
78297,gsobel,Bring Back Organic Milk,Other+Product+Ideas,7090,3/19/2008 11:16 AM,top
11014,SampMM,Send the sick home!,Other+Experience+Ideas,6960,3/20/2008 10:06 AM,top
78198,IslipJavaDrink,no expiration on free drink rewards & birthday drinks,Other+Product+Ideas,6910,11/21/2013 4:19 PM,top
40111,brittany4sbux,"Hide the ""free drink"" phrase!",Starbucks+Card,6890,7/5/2011 9:10 PM,top
82840,palekar2,"Pre-Select Signature Drinks for Gold Card Members, Keep Line moving in Store",New+Technology,6880,10/22/2010 5:16 PM,top
92637,JedNein,Sleeve Recycle Bin,Coffee+%26+Espresso+Drinks,6860,11/18/2009 12:03 AM,top
104602,katrinar,Dairy and Soy Free milk option,Coffee+%26+Espresso+Drinks,6850,3/26/2013 4:38 PM,top
57269,CustIdea0001,Make Starbucks an after dinner destination,Atmosphere+%26+Locations,6830,3/18/2008 3:21 PM,top
58559,cozy,Cozy stores,Atmosphere+%26+Locations,6830,4/6/2008 12:23 PM,top
116310,tealattefan,"""short"" sized fraps for kids",Frappuccino+Beverages,6810,11/20/2013 6:42 PM,top
67456,grniz,Please bring back your original bread loafs,Food,6810,8/23/2013 7:18 AM,top
91843,collin1026,Decaf Chai,Tea+%26+Other+Drinks,6800,9/8/2010 9:21 AM,top
75658,pangea,"Reward individuals for posting ideas that become active ( or ""launched"")",Other+Product+Ideas,6780,12/8/2009 11:26 AM,top
94717,danyellg,Free Milk Alternatives,Coffee+%26+Espresso+Drinks,6750,9/18/2012 9:16 AM,top
20151,Naveen,Sewn Aprons,Other+Experience+Ideas,6680,3/19/2008 1:14 PM,top
44128,tgambo2,free upsizing of drinks for gold members,Starbucks+Card,6660,8/17/2010 1:35 PM,top
40015,nyyankeesny26,more rewards for gold card members,Starbucks+Card,6600,7/26/2011 11:18 PM,top
47486,WriteRight,Automatically load coupons/offers/specials on Gold Cards,Starbucks+Card,6590,7/15/2013 8:50 AM,top
101449,angel70,Cold Cups  - Ship More,Merchandise+%26+Music,6580,5/7/2009 8:36 AM,top
66173,hundertmark,Gluten free foods please,Food,6580,11/4/2013 4:00 PM,top
49512,sunglechic,Military Gold Card Status Freeze While Deployed,Starbucks+Card,6560,1/1/2014 6:16 AM,top
107845,mg22,Please put soy milk on the bar,Coffee+%26+Espresso+Drinks,6540,9/18/2012 12:21 PM,top
44091,bekka4,Make The Reward Card Worth It!,Starbucks+Card,6450,7/29/2010 11:55 PM,top
66163,Carolkaye,Please bring back pumpkin scones!,Food,6420,10/15/2013 11:25 AM,top
10415,avion321,Fair Trade Coffee,Social+Responsibility,6300,3/19/2008 12:21 PM,top
65120,karissao,Gluten Free Baked Goods!,Food,6260,4/5/2013 11:48 AM,top
49988,kwowtehmok,Free Drink when Gold status is achieved,Starbucks+Card,6250,8/14/2014 10:28 PM,top
50419,jamby,Fireplaces,Atmosphere+%26+Locations,6220,3/20/2008 7:28 AM,top
43314,2Babydogs,Double Point on Starbuck's cards,Starbucks+Card,6200,4/8/2011 4:19 AM,top
73245,KylynBritt,Happy Hour,Other+Product+Ideas,6160,12/8/2010 12:07 PM,top
68694,comicslover,Bring back the food.,Food,6150,10/3/2013 4:54 PM,top
54014,SeattleJ,Free WiFi Internet - I mean REALLY free,Atmosphere+%26+Locations,6000,8/3/2008 8:48 AM,top
31006,GrandmaR,Don't pressure barristas to sell products,"Ordering,+Payment+%26+Pick-Up",5970,11/13/2009 7:53 AM,top
50366,flatland,"Want to compete with McDonalds' Coffee, Don't become McDonalds",Atmosphere+%26+Locations,5940,3/20/2008 11:01 AM,top
44148,BricBux,Free cup when you reload a card with $XX.xx or more,Starbucks+Card,5930,9/14/2010 1:32 PM,top
49916,briand92,Free Internet Access,Atmosphere+%26+Locations,5920,3/19/2008 12:09 PM,top
92849,jujubeth,prices are now over the top,Coffee+%26+Espresso+Drinks,5910,11/17/2009 8:28 AM,top
94376,mochafreak0,Barista's Choice,Coffee+%26+Espresso+Drinks,5870,4/16/2010 7:56 AM,top
92314,superstarsha77,Bring Back the After 2 Program,Coffee+%26+Espresso+Drinks,5870,11/21/2009 10:45 AM,top
31641,dhurley,Winter Warmer! Like the treat receipt but a hot drink,"Ordering,+Payment+%26+Pick-Up",5850,10/8/2010 10:48 AM,top
103643,jaymacc,Bring Back Free Drink with Initial Mug or Tumbler Purchase (for Gold Card-Gold Status Members),Merchandise+%26+Music,5790,3/2/2010 1:17 PM,top
98048,trtlgrl,free drinks!,Merchandise+%26+Music,5760,3/19/2008 11:48 AM,top
82856,AtomicPuck,Status of Implementation of Ideas,New+Technology,5760,12/22/2010 10:34 AM,top
44446,lukesterski14,Baristas need to know more about Starbucks Card!,Starbucks+Card,5750,5/12/2010 2:20 PM,top
93060,luvsespresso,$1.00 coffees or $2.00 Latte,Coffee+%26+Espresso+Drinks,5690,1/1/2010 5:06 AM,top
223,Arkamus,Italian Sodas,Tea+%26+Other+Drinks,5640,3/19/2008 4:46 PM,top
64394,CustIdea0001,More savory items please,Food,5630,3/18/2008 3:21 PM,top
101599,cocopuff32,Bring back free syrup with gold card,Coffee+%26+Espresso+Drinks,5560,11/24/2013 8:01 PM,top
2799,mvo,STOP DOUBLE-CUPPING!!!!,Social+Responsibility,5560,4/6/2008 9:40 AM,top
116329,mom@40,"""Kids size"" non-coffee drinks (both hot and cold)",Frappuccino+Beverages,5560,10/14/2010 1:33 PM,top
27623,trucktruck,"Military Discount in ALL STORES, not just some.",Building+Community,5540,1/16/2013 9:40 AM,top
62977,ipo218,Treat rewards,Food,5510,8/16/2010 7:59 AM,top
91952,danielle,Bring Back Tazoberry,Tea+%26+Other+Drinks,5500,3/19/2008 12:24 PM,top
93377,trw7621,Taste Testing Events,Coffee+%26+Espresso+Drinks,5490,1/19/2010 6:13 AM,top
116294,itskrisyle,Happy Hour more often?,Frappuccino+Beverages,5460,6/30/2012 6:32 AM,top
49695,IVZ,STARBUCKS GOLD CARD HOLDERS & NEW STARBUCKS BEVERAGES,Starbucks+Card,5430,3/7/2014 12:41 PM,top
45558,aburchardt,Noo! My two favorite benefits are gone! This is lame.,Starbucks+Card,5430,9/18/2012 9:21 AM,top
39476,jlr50,Making all Starbucks the same for rewards,"Ordering,+Payment+%26+Pick-Up",5400,10/3/2013 11:08 PM,top
45581,coffeelvr63,"no expiration dates on free birthday coffee...especially those summer birthdays when you go on vacation, come home to find an expired free birthday coffee postcard!  Real Bummer!",Starbucks+Card,5380,7/27/2012 5:40 PM,top
78192,skinamon,I think that the coffee cups etc. should be made in the USA.,Other+Product+Ideas,5330,7/24/2013 10:28 PM,top
49480,JohnnyVenti,Earn more Stars!,Starbucks+Card,5300,11/20/2013 6:14 PM,top
11039,yesirish,Focus on the Customer,Other+Experience+Ideas,5270,3/19/2008 12:14 PM,top
11033,cuppa306,reward loyalty,Other+Experience+Ideas,5260,3/19/2008 12:24 PM,top
111733,deeter1994,Frappucino buy one get one 50% off,Frappuccino+Beverages,5230,11/20/2013 6:13 PM,top
94040,Mslay,Please bring back Coconut Mocha's for Summer 2010,Coffee+%26+Espresso+Drinks,5230,2/15/2010 5:32 PM,top
46213,Grande_SoyBean,To be honest; I expected some bigger fireworks when I reached 30 stars...,Starbucks+Card,5220,9/30/2011 2:56 PM,top
101549,Kputney,MAPLE MACCHIATO!!!,Coffee+%26+Espresso+Drinks,5220,9/28/2010 8:28 AM,top
46401,tjcleve,Trial Offers & Coupons for Gold Members,Starbucks+Card,5210,8/21/2012 2:19 PM,top
107848,gatormama,Dulce de Leche,Coffee+%26+Espresso+Drinks,5190,2/2/2012 2:28 PM,top
97754,sbx_eluk,Online Starbucks Store,Merchandise+%26+Music,5160,3/19/2008 9:10 AM,top
